user,date,message,date_parsed,noun_chunks,regex_model_code
allargon,07-Mar," it was a bimmer salesguy that told me that. i kind of took it with a grain of salt for obvious reasons. he was right about the  audi 's back seat being small. actually, the front seat of the  audi  is the only car i've ever sat in that made me feel fat! i'm glad that the  audi  isn't a glorified  volkswagen . i will definitely withdraw the inference i made.the germans automakers really don't believe in synergies, do they?   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  doesn't want to share too much with chrysler, and bmw doesn't appear to care about lacking a mid-sized mass market sedan. i guess audi and lambo are the only ones that share.the e46's backseat isn't that bad. however, i won't call it spacious for anyone above 5'10  ""  kia hyundai . however the backseat headroom in the e90 door is just painful. (i bumped my head entering and exiting twice while sober with my buddy driving. i won't even mention the times after we started drinking simply because i can't remember them! :blush: ) your 6'3  ""  kia hyundai  friend can sit in the back of an e90 without complaining? is he like a contortion toyota  or something? i couldn't imagine being 6'3  ""  kia hyundai  and being  toyota able in the back of a cts or tl (best in this class).no road trips? blueguy, you are definitely californian! i love you for that. you remind me of all my friends in the bay area that thought i was nuts whenever i drove from mountain view to la. this was pre-9/11. they all  toyota d,   ""  kia hyundai there are planes for that.  ""  kia hyundai  lol. seriously, aren't we supposed to be enthusiasts here who love to drive? i remember taking my *cough* sport sedan (1994 pontiac  pontiac  se) down the 5 to la. highway cruising is definitely a different driving experience than going on the track or the tw toyota ies, but i wouldn't say it's not fun. blueguy, wouldn't you want to run your e46 through west texas hitting the electronic limiter just for fun? ",2007-03-01,"it|a bimmer salesguy|that|me|that|i|it|a grain|salt|obvious reasons|he|the  audi 's back seat|the front seat|the  audi|the only car|i|that|me|i|the  audi|a glorified  volkswagen|i|the inference|i made.the germans automakers|synergies|they|mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz|chrysler|bmw|a mid-sized mass market sedan|i|audi|lambo|the only ones|that|share.the e46's backseat|i|it|anyone|above 5'10  ""  kia hyundai|the backseat headroom|the e90 door|i|my head|my buddy driving|i|the times|we|i|them|blush|your 6'3  ""  kia hyundai  friend|the back|an e90|he|a contortion toyota|something|i|6'3  ""  kia hyundai|toyota|the back|a cts|tl|this class).no road trips|you|i|you|that|you|me|all my friends|the bay area|that|i|i|mountain view|la|this|pre-9/11|they|all  toyota d|planes|that|""  kia hyundai  lol|we|enthusiasts|who|i|my *cough* sport sedan|la|highway cruising|a different driving experience|the track|toyota|i|it|blueguy|you|your e46",e46 | e90 | e90 | e46
rockylee,07-Feb," okay, fair enough.......rocky ",2007-02-01,,
habitat1,07-Mar,"   ""  kia hyundai when this one ( pontiac 5x) hits 55k &#150; 60k, i&#146;ll begin my quest anew.  automobiles are something you&#146;ll own a series of throughout your life, they aren&#146;t a one and done.  ""  kia hyundai  well, just for a different perspective, if i had gone through (3) ellps from 1995 through 2005 at $35-$45k a pop, instead of milking my ultra-reliable $20k 1995  nissan  se for 155k+ miles, i would have had a tougher time justifying to myself the purchase of a 911. there are several ways to play the automotive game, from trade when the new car smell is gone, to drive them till they drop. but, at least as far as i can tell, buying  car  with below average relaiblity and then trading them before the warranty is up is not necessarily the best bang for the buck. i am quite sure that i have spent less than the average 3-4 year trader in  car  over the last 15 years, including my current stable. ",2007-03-01,this one|pontiac 5x|55k|i&#146;ll|my quest|automobiles|something|a series|your life|they|a one|a different perspective|i|my ultra-reliable $20k 1995  nissan  se|155k+ miles|i|a tougher time|myself|the purchase|several ways|the automotive game|trade|the new car smell|them|they|i|car|average relaiblity|them|the warranty|the best bang|the buck|i|i|the average 3-4 year trader|car|the last 15 years|my current stable,55k | 60k | 45k | 20k | 155k
cdnpinhead,06-Dec," i can't remember, blue. does your e90 have the sport package/ seat ? i think it does, in which case you'd find the standard  seat  even worse.i'm significantly bigger (6'2  ""  kia hyundai  & ~245), so hope i'll find the sports  seat  to be a goldilocks situation. ",2006-12-01,"i|your e90|the sport package/ seat|i|it|which case|you|the standard  seat|even worse.i'm|significantly bigger (6'2  ""  kia hyundai|~245|i|the sports  seat|a goldilocks situation",e90
roadburner,10-Sep," that works out to a little over $19 per month, or about 60 cents per day. i spend more than that on coffee. my 1995 3 series has 121,000 miles on it and the cost of scheduled maintenance and repairs(including four sets of summer/track ru toyota er) averages a bit under 5 cents per mile. as for my wife's 2004 x3 2.5, at 101,000 miles the sole unscheduled repair has been a bad passenger srs sensor- which was replaced under warranty. maintenance costs are again averaging @5 cents per mile, and that takes into account the fact that i change the oil and filter twice as often as the si system calls for. i better be looking for a good chapter 7 attorney... :p in contrast, my 2007  mazda peed 3 has 64,000 miles on it and it has needed a lf strut, a turbo dodge , and a vvt actuator- all before it hit 50,000 miles. ",2010-09-01,"that|month|about 60 cents|day|i|that|coffee|my 1995 3 series|121,000 miles|it|the cost|scheduled maintenance|four sets|5 cents|mile|my wife's 2004 x3|101,000 miles|the sole unscheduled repair|a bad passenger srs sensor-|which|warranty|maintenance costs|@5 cents|mile|that|account|the fact|i|the oil|the si system|i|a good chapter 7 attorney|contrast|my 2007  mazda peed|64,000 miles|it|it|a lf strut|a turbo dodge|a vvt|it|50,000 miles",3 series | x3
nyccarguy,07-Jan," pat, i think gas is cheaper everywhere else besides california & ny (a close 2nd).merc1, i've always loved the stunning good looks of the clk 430 especially with those 5 spoke amg wheels. my mom had a '98 clk 320 black/black (with the sort of cheesy looking wheels that looked good on the black car). my dad saw the car featured in autoweek in august of '97 and ran down the the dealership the next day (a saturday after work) to place his deposit. he's not that type at all, but was just in awe over the car's looks and had to have one. ",2007-01-01,i|gas|california|ny|i|the stunning good looks|those 5 spoke amg wheels|my mom|a '98 clk 320 black/black|the sort|cheesy looking wheels|that|the black car|my dad|the car|autoweek|august|the the dealership|work|his deposit|he|that type|awe|the car's looks,
tlong,10-Feb," i assert all of the vehicles are cheap to own for the first three years. actually, no. the depreciation costs in the first 3 years dwarf the maintenance costs in the out years. you just don't see those costs until you sell. ",2010-02-01,i|all|the vehicles|the first three years|the depreciation costs|the first 3 years|the maintenance costs|the out years|you|those costs|you,
texases,07-Aug, my worries confirmed...so much for reasonable back seat room...lexus did the same thing (low c pillar) to the new es...like they needed to make that look 'sporty' ,2007-08-01,my worries|reasonable back seat room|lexus|the same thing|low c pillar|the new es|they|that,
louiswei,07-Mar," we could always combine the is350 and is250 into one entryyeah, why's that both  bmw  and    mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz   has one entry but the is has 2? ",2007-03-01,we|the is350|one entryyeah|both  bmw|mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz|one entry|the,
circlew,07-Mar," shipo,i agree completely...after the ls, which i owned, lincoln is done with performance. perhaps in the future when they merge and reinvent the brand. lincoln is done with   ""  kia hyundai hot rod  ""  kia hyundai  status as far as i'm concerned.   ""  kia hyundai my pappy says,   ""  kia hyundai son, your gonna drive me to ...  ""  kia hyundai  the end.regards,ow ",2007-03-01,"i|the ls|which|i|lincoln|performance|the future|they|the brand|lincoln|""  kia hyundai hot rod  ""  kia hyundai  status|i|kia|my pappy|""  kia hyundai son|your gon|me|""  kia hyundai|the end.regards|ow",
quasiactuary,07-Mar,"   ""  kia hyundai suggest you test drive a jaguar x type sport wagon with awd. they're quick, and, handle very well. reliability is second only to lexus. leather, 3.0 v6, automatic, and awd is standard.  ""  kia hyundai what are you smoking? reliability is second only to lexus????  honda ing to consumerreports.com the x-type has by far the worst reliability in this segment...93% worse than average. a lot of what we talk about here is subjective, but this is not. you are wrong, x type reliability is awful, dreadful, second to everyone who makes a car in this segment. ",2007-03-01,"""  kia hyundai|you test|a jaguar x type|sport wagon|awd|they|reliability|leather|3.0 v6|what|you|reliability|honda|the x|-|type|the worst reliability|this segment|a lot|what|we|this|you|x type reliability|everyone|who|a car|this segment",v6
jtla,07-Jan," i have three little kids and a wife and i do not think it would be practical for me to fly to germany to buy a car.i have two little kids and a wife, but i am a newly convert to the ed prog dodge  believer (thanks to blueguydotcom's analysis). true, it cost a lot to bring a family to europe for travel. but if you are planning on a vacation anyway, then doing ed actually save you money on car rental. even if you are not planning on euro vacation any time soon, for your family just think of it as you going on a business trip. like blueguy's plan, fly to munich and back the same day, and save about $3k. not too sha toyota y for a day's work.just my 2 cents. ",2007-01-01,i|three little kids|a wife|i|it|me|germany|a car.i|two little kids|a wife|i|a newly convert|the ed prog dodge  believer|thanks|blueguydotcom's analysis|it|a lot|a family|europe|travel|you|a vacation|ed|you|money|car rental|you|euro vacation|your family|it|you|a business trip|blueguy's plan|munich|a day's work.just,
kdshapiro,06-Nov," rockylee,   ""  kia hyundai 2007 cadillac cts and cts-v  ""  kia hyundai  #2, 31 oct 2005 7:45 pmbtw i notice you have been predicting the demise of the 3 series for about 1+ years now. hasn't happened yet, much to your chagrin, i'm sure. ",2006-11-01,rockylee|kia hyundai 2007 cadillac cts|cts|kia hyundai|i|you|the demise|the 3 series|about 1+ years|your chagrin|i,3 series
qbrozen,06-Nov," manual transmission as standard equipment suspension tuning with an emphasis on handling over ride quality driver-oriented interior smaller size - ideally a compact but that's getting tougher to find. rwd preferable, with fwd as passable and awd if one really must.  i would add: price range between 30-45k no   ""  kia hyundai supped up  ""  kia hyundai   car  like the m, amg, v, s (4,6 or 8) or r 220hp + luxury nameplate size- should fit 4 adults  toyota ably (and yes you can fit 2 adults in the backseat of a  bmw  or is) ok. now we are finally getting somewhere. getting closer, anyway.my only problem here is that the r fits the pricerange, so i think it qualifies. i would not exclude any special supped up model as long as it fits the price requirement. one small amendment, though. i think up to $40k should be plenty for   ""  kia hyundai entry-level.  ""  kia hyundai  and i'm talking msrp! i hate when people start with the   ""  kia hyundai well, with the $10k rebate and my special secret friend's discount ...  ""  kia hyundai  uh-uh. there is only one verifiable price and that's the msrp. ",2006-11-01,"manual transmission|standard equipment suspension tuning|an emphasis|ride quality driver-oriented interior smaller size|that|rwd|fwd|awd|i|price range|30-45k|no   ""  kia hyundai|""  kia hyundai   car|amg|s|8)|r 220hp + luxury nameplate|4 adults  toyota|you|2 adults|the backseat|a  bmw|ok|we|anyway.my only problem|the r|the pricerange|i|it|i|any special supped up model|it|the price requirement|one small amendment|i|$40k|""  kia hyundai entry-level|""  kia hyundai|i|msrp|i|people|the $10k rebate|my special secret friend's discount|only one verifiable price|that|the msrp",45k | 220hp | 40k | 10k
circlew,07-May," regards,ow ",2007-05-01,regards,
2233,11-Aug," i understood your logic sir but i guess i consider the qualities of tires way more important than license plates, tinting, or a windshield wiper.i never had a car with run flats and i don't think i ever will until there are substantial improvements in them.some people really like them so that's what is nice about these forums. everyone can l toyota  the pros and cons and one can make their own decision. ",2011-08-01,i|your logic|i|i|the qualities|tires|license plates|tinting|a windshield|a car|run flats|i|i|substantial improvements|them.some people|them|that|what|these forums|everyone|cons|one|their own decision,
irvine555,08-Mar," i'm looking to buy a tl at the end of the year. i know by then the '09s will be out. how much of a price drop do yall think they will have on the 08 models (especially since they'll be 3rd generation unlike the 09's). also do yall think with the new options on the '09 models that are being discussed on this forum (awd and more horsepower) it's worth it to get an '09 or just get the '08.p.s.---i live in louisiana so front wheel drive is not a problem (we don't see snow but every 10 years, lol). also do yall think its worth it to get the s-type since its just a few thousand more than the basic one with the nav. system.thanks so much ",2008-03-01,i|a tl|the end|the year|i|a price drop|y|all|they|the 08 models|they|3rd generation|y|all|the new options|the '09 models|that|this forum|awd|more horsepower|it|louisiana|so front wheel drive|a problem|we|snow|y|all|its worth|it|the s|-|type|the nav|system.thanks,09s
roadburner,10-Sep," like it or don't, believe it or not, many-many of us have owned and driven  bmw  for many tens (and even hundreds) of thousands of miles with nor or very minimal issues.don't spoil their fun, they need those urban  acura s to justify their   ""  kia hyundai sour grapes  ""  kia hyundai  attitude... ",2010-09-01,"it|it|us|bmw|many tens|even hundreds|thousands|miles|their fun|they|those urban  acura|their   ""  kia hyundai sour grapes|""  kia hyundai  attitude",
dhamilton,07-Jan, me in as a manual jerk.and a jerk ,2007-01-01,me|a manual|a jerk,
pv2,07-Jul, i think a bigger factor in heat is the black interior; not the aluminum trim. my prior car was a 2003 cl-s with black interior and there's a noticeable improvement with the lighter interior on my 2007 tl-s. no noticeable heat on the carbon fiber or silver interior trim. you might want to try a front window shade if it's parked in the sun. ,2007-07-01,i|a bigger factor|heat|the black interior|my prior car|a 2003 cl-s|black interior|a noticeable improvement|the lighter interior|my 2007 tl-s.|no noticeable heat|the carbon fiber|silver interior trim|you|a front window shade|it|the sun,
joe131,06-Dec," nope.tire tread wear ratings are only useful when comparing tires made by the same manufacturer. a 400 rating in one brand may wear out sooner than a 300 rating of another brand.http://www.discounttire.com/dtcs/infotreadwear.dos puts it like this:the treadwear grade is a comparative rating based on the wear of a tire when tested carefully under controlled conditions. for example, a tire graded 400 should have its useful tread last twice as long as a tire graded 200. another tire manufacturer, however, may grade a comparable design 300, so a grade of 150 would last just half as long under their grading scheme. the lesson learned is to not use one manufacturer's grade versus the other, but instead to compare tire grades within a given brand. ",2006-12-01,nope.tire tread wear ratings|tires|the same manufacturer|a 400 rating|one brand|a 300 rating|another brand.http://www.discounttire.com/dtcs/infotreadwear.dos|it|this|the treadwear grade|a comparative rating|the wear|a tire|controlled conditions|example|a tire|its useful tread|a tire|another tire manufacturer|a comparable design|a grade|their grading scheme|the lesson|one manufacturer's grade|tire grades|a given brand,
kdshapiro,07-Sep,"   ""  kia hyundai i think without the   ""  kia hyundai buy american  ""  kia hyundai  loyalty,  ""  kia hyundai i clearly have a buy american loyalty and would if:1. i could find a product that was made, designed and built 100% in america by americans, in companies headquartered in america (not saying companies can't import raw materials not found in the us)2. product is as good and hopefully better as non-american products,3. cost is competitive.in general, sadly the   ""  kia hyundai made in america  ""  kia hyundai  moniker has been reduced to meaning the   ""  kia hyundai made in america  ""  kia hyundai  stamp is stamped in america. ",2007-09-01,"i|""  kia hyundai|american|""  kia hyundai  loyalty|i|a buy american loyalty|i|a product|that|100%|america|americans|companies|america|companies|raw materials|the us)2|product|non-american products,3|cost|the   ""  kia hyundai|america|kia hyundai  moniker|america|america",
louiswei,08-Apr," i don't have any preference either, as long as a 6-banger gives me 300+ hp then i am good. i prefer na but i'll take an almost-turbo-lag-less twin turbo 6 as well. ",2008-04-01,i|any preference|a 6-banger|me|i|i|i|an almost-turbo-lag-less twin turbo,
dunde71,06-Oct," i am surprised now most of the upscale/near luxury  sedan  do not have a full size spare option. if one happens to do lot of long drives (which i do) and have a flat on the highway during a weekend then good luck finding an auto repair shop on a sunday. besides even on a weekday its a hassel getting off the highway and get it fixed. it screws up your plans. its like an air bag .. hopefully the need does not arise to use it but if you get into an accident then it better be there. i have had a flat tire on the highway and i realized how handy the full size spare was. replaced it and i was on my way. i looked at the acura tl/rl, lexus gs300/350, infiniti  bmw 5 and none of them have a full-size spare option. its hard for me to think of buying a 40k car and not having a full size spare ... which is something so basic. i do not understand why auto-makers are doing this. any thoughts ??? ",2006-10-01,i|the upscale/near luxury  sedan|a full size spare option|lot|long drives|which|i|the highway|a weekend|good luck|an auto repair shop|a sunday|a weekday|its a hassel|the highway|it|it|your plans|its|an air bag|the need|it|you|an accident|it|i|a flat tire|the highway|i|the full size|it|i|my way|i|the acura|tl/rl|lexus gs300/350|infiniti  bmw|none|them|a full-size spare option|its hard|me|a 40k car|a full size|which|something|i|auto-makers|this|any thoughts,40k
cdnpinhead,06-Oct, helpful review.thanks. ,2006-10-01,helpful review.thanks,
150mphclub,07-Sep, i am with you sevenfeet. i sometimes drive 700 miles in a day. the cts and the  bmw 5 are the only two  car  on your l toyota  that would not have me squirming in dis toyota  for the last 100 miles. the bmw 3 would have me screaming in agony for that last 100. ,2007-09-01,i|you|i|700 miles|a day|the cts|the  bmw|the only two  car|your l toyota|that|me|dis toyota|the last 100 miles|the bmw|me|agony,
blueguydotcom,07-Jan, thank god my fiancee can drive stick. i suggested gettinng dsg on my next car for her. she promptly drove my 330i manual for the rest of the day and told me she may own two automatics but she can do manual if pressed.two best reasons to pick the manual:1. cheaper at purchase2. cheaper to repair - thousands cheaper. a bad tranny today costs 4-6k to repair. a bad manual - less than 1000. ,2007-01-01,god|my fiancee|stick|i|gettinng dsg|my next car|her|she|my 330i manual|the rest|the day|me|she|two automatics|she|manual|pressed.two best reasons|the manual:1|.|purchase2|thousands|a bad tranny|today|4-6k|a bad manual,330i
kdshapiro,06-Nov," the guildeline seems to be the manufacturer builds luxury  car , ultra-luxury and exotics are excluded. the high-end sedan  volvo  does not compete with high-end offerings from bmw,   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  and lexus although, you could argue it competes with the rl and the m45. having  toyota d that you can compare the options of the  volvo  with the rl and m45. for 300 hp it's a lot more expensive than then 335, which is not a luxury vehicle. if the  volvo  is included in the group, it is the most expensive vehicle here and the top of the line for volvo, while these other  car  are the bottom of the line for the other manufacturers.i don't think anyone will seriously compare the  volvo  against the 550, at least in terms of performance. maybe the  volvo  compares against the new 2008 600hp ctsv? ",2006-11-01,the guildeline|the manufacturer|luxury  car|-|luxury|exotics|the high-end sedan  volvo|high-end offerings|bmw|mercedes-benz benz|mercedes-benz benz|you|it|the rl|the m45|toyota d|you|the options|the  volvo|the rl|m45|it|which|a luxury vehicle|the  volvo|the group|it|the most expensive vehicle|the top|the line|volvo|these other  car|the bottom|the line|the other manufacturers.i|anyone|the  volvo|terms|performance|the  volvo|the new 2008 600hp ctsv,m45 | m45 | 600hp
louiswei,07-Jan," hey joe, why don't you create a new discussion with the title being: all boarder line candidates left out of the ellps board. i am pretty sure some of us will be glad to join you there. ",2007-01-01,you|a new discussion|all boarder line candidates|the ellps board|i|some|us|you,
plekto,07-Feb," that has to go to the volvo 70 series. iirc, it's the only dolby digital certified sound system in any car.not a bad car, either. ",2007-02-01,that|the volvo 70 series|it|the only dolby digital certified sound system|any car.not|a bad car,70 series
louiswei,06-Dec," oh well, one for the lexus crowdhaha, it's about time...i know the is350 wouldn't stand a chance if it goes head-to-head with the  bmw . however, it's good to know that at least one major car magazine thinks that it's the best japanese has yet to offer. i haven't read the article yet (will tomorrow) but i think  pontiac 5 will come up on top if they are considering   ""  kia hyundai performance  ""  kia hyundai  alone. however, i believe it's is350's overall package wins over the reviewers' votes.for those whom have read the article, please correct me if i am wrong. ",2006-12-01,"the lexus crowdhaha|it|time|i|the is350|a chance|it|head|the  bmw|it|at least one major car magazine|it|the best japanese|i|the article|i|pontiac|top|they|""  kia hyundai performance|""  kia hyundai|i|it|is350's overall package|the reviewers|those|whom|the article|me|i",
blueguydotcom,07-Oct, people chip leased  car  all the time. in fact it makes more sense to chip a leased car as you needn't worry about any long term damage. by the time it shows up it's someone else's problem. leased car = drive it like you stole it. ,2007-10-01,people chip|car|fact|it|more sense|a leased car|you|any long term damage|the time|it|it|someone else's problem|leased car|it|you|it,
habitat1,07-Jun," the  infiniti  coupe has a 112  ""  kia hyundai  wheelbase and weighs #3800 lbs! if you want a slushbox too, you might as well buy a crown vic. lol! remember the  infiniti  coupe is from the same obese nissan engineers that brought you the 350z   ""  kia hyundai roadster  ""  kia hyundai  that weighs roughly the same as an s2000 or boxster - with a 700 lb water buffalo sitting in the passenger seat. :surprise: the 3,770 lb  infiniti  coupe splits the difference between two of my previous vehicles: my 3,001 lb 5-passenger 1995  nissan  se and my former 4,300 lb isuzu trooper suv. no wait, i'm wrong. the  infiniti  is closer to the trooper. :confuse: ",2007-06-01,"the  infiniti  coupe|a 112  ""  kia hyundai  wheelbase|#3800 lbs|you|a slushbox|you|a crown vic|the  infiniti  coupe|the same obese nissan engineers|that|you|the 350z   ""  kia hyundai roadster  ""  kia hyundai|that|an s2000|boxster|a 700 lb water buffalo|the passenger seat|:surprise|the 3,770 lb  infiniti  coupe|the difference|my previous vehicles|my 3,001 lb 5-passenger 1995  nissan  se|my former 4,300 lb isuzu trooper suv|i|the  infiniti|the trooper|:confuse",350z
nyccarguy,11-Sep, leather is softer & breathes. leatherette is extremely durable. ,2011-09-01,leather|leatherette,
habitat1,06-Oct," .. are  bmw 's,  bmw 's and some hypothetical/hopeful 2008 cts-v entry level luxury performance  sedan ??...and since when would anyone with any sense of good taste and financial wherewithall buy any gm car over an  bmw / bmw  just because of 0-60 straight line performance? ",2006-10-01,"bmw 's,  bmw 's and some hypothetical/hopeful 2008 cts-v entry level luxury performance  sedan|anyone|any sense|good taste|financial wherewithall|any gm car|an  bmw / bmw|0-60 straight line performance",
jimbres,10-Feb,"  it's no secret i love  bmw , but if i get the car i love, it's nice to have $0 maintenance for four years. in today's economy even the super-rich worry about their dollars.i love  bmw  too - i own one - but i don't think that bmw's   ""  kia hyundai ultimate service  ""  kia hyundai  (their name) prog dodge  will influence my decision when the time comes to replace my car (probably next year).it might be a tie-breaker for me if i had to choose between a bmw  bmw  & a comparably priced car from audi or   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz . but i don't particularly like   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  & having owned one audi, which was nothing short of horrific, i'll probably never buy another.it's much more likely that the final decision will come down to a bmw  bmw  versus an infiniti g. and the price gap between the 2  car  is so great that the amount of money that   ""  kia hyundai ultimate service  ""  kia hyundai  would save me - $649.40 over 4 years  honda ing to bmw's web site - is just laughably trivial.that doesn't mean that i might not buy another bmw, but it does mean that   ""  kia hyundai ultimate service  ""  kia hyundai  won't be a factor in my thinking. ",2010-02-01,"it|no secret|i|bmw|i|the car|i|it|$0 maintenance|four years|today's economy|even the super-rich worry|their dollars.i love  bmw|i|i|their name|my decision|the time|my car|year).it|a tie-breaker|me|i|a bmw  bmw|a comparably priced car|audi or   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz|i|mercedes-benz benz|one audi|which|nothing|i|another.it|the final decision|a bmw  bmw|an infiniti g.|the price gap|the 2  car|the amount|money|that|""  kia hyundai ultimate service  ""  kia hyundai|me|$649.40 over 4 years  honda|bmw's web site|trivial.that|i|another bmw|it|""  kia hyundai ultimate service|""  kia hyundai|a factor|my thinking",
wale_bate1,07-Mar," ever since the arrival of the  ford  americans have fallen in love with the wagon all over again. they just don't want to admit it...if we leave  audi  out of the mix here, imo, we leave out a fairly influential player in the ellp game. certainly it's caused more than a few mfrs to reconsider their offerings' potentials here... ",2007-03-01,the arrival|the  ford  americans|love|the wagon|they|it|we|audi|the mix|we|a fairly influential player|the ellp game|it|more than a few mfrs|their offerings' potentials,
piason,07-Jan, has anyone found the crash results on the 2006/2007 is250? ,2007-01-01,anyone|the crash results|the 2006/2007 is250,
ontop,07-Jan," interest is miunte on a car loan? huh? run an amortization schedule and relook at that assertion. maybe in the later years of a loan, but the first year is a bunch of interest.leasing almost always sucks unless you get great incentives to take the plunge. ",2007-01-01,interest|miunte|a car loan|huh|an amortization schedule|that assertion|the later years|a loan|the first year|a bunch|interest.leasing|you|great incentives|the plunge,
